date,time,type,occupancy,direction,elec
25-10,10.35 am,car,2,in,
25-10,10.35 am,car,2,in,
25-10,10.35 am,car,1,in,
25-10,10.35 am,car,1,in,
25-10,10.35 am,bicycle,1,in,
25-10,10.35 am,taxi,1,in,
25-10,10.35 am,car,2,in,
25-10,10.35 am,car,2,in,
25-10,10.35 am,bicycle,1,in,
25-10,10.35 am,car,1,in,
25-10,10.35 am,car,1,in,
25-10,10.35 am,bicycle,1,in,
25-10,10.35 am,bus,70%,in,
25-10,10.35 am,bus,60%,in,
25-10,10.35 am,van,1,in,
25-10,10.35 am,bus,80%,in,
25-10,10.35 am,car,2,in,
25-10,10.40 am,bus,40%,in,
25-10,10.40 am,car,1,in,
25-10,10.40 am,taxi,2,in,
25-10,10.40 am,car,1,in,
25-10,10.40 am,taxi,1,in,
25-10,10.40 am,car,1,in,
25-10,10.40 am,car,2,in,
25-10,10.40 am,van,1,in,
25-10,10.40 am,bicycle,1,in,
25-10,10.40 am,van,2,in,
25-10,10.40 am,bus,80%,in,
25-10,10.40 am,car,1,in,
25-10,10.40 am,van,1,in,
25-10,10.40 am,car,1,in,
25-10,10.40 am,car,2,in,
25-10,10.40 am,bicycle,1,in,
25-10,10.40 am,car,2,in,
25-10,10.40 am,car,2,in,
25-10,10.40 am,taxi,1,in,
25-10,10.45 am,van,1,in,
25-10,10.45 am,car,1,in,
25-10,10.45 am,car,2,in,
25-10,10.45 am,car,2,in,
25-10,10.45 am,car,1,in,
25-10,10.45 am,car,2,in,
25-10,10.45 am,van,1,in,
25-10,10.45 am,bus,95%,in,
25-10,10.50 am,car,1,in,
25-10,10.50 am,car,4,in,
25-10,10.50 am,car,2,in,
25-10,10.50 am,bus,95%,in,
25-10,10.50 am,car,2,in,
25-10,10.50 am,motorcycle,1,in,
25-10,10.50 am,van,1,in,
25-10,10.50 am,taxi,1,in,
25-10,10.50 am,car,1,in,
25-10,10.50 am,car,1,in,
25-10,10.50 am,lorry,1,in,
25-10,10.50 am,taxi,1,in,
25-10,10.55 am,car,1,in,
25-10,10.55 am,van,2,in,
25-10,10.55 am,car,1,in,
25-10,10.55 am,bus,80%,in,
25-10,10.55 am,car,1,in,
25-10,10.55 am,van,1,in,
25-10,10.55 am,car,2,in,
25-10,10.55 am,car,2,in,
25-10,10.55 am,bicycle,1,in,
25-10,11.00 am,van,1,in,
25-10,11.00 am,van,2,in,
25-10,11.00 am,car,1,in,
25-10,11.00 am,car,2,in,
25-10,11.00 am,car,1,in,
25-10,11.00 am,van,3,in,
25-10,11.00 am,bicycle,1,in,
25-10,11.00 am,car,4,in,
25-10,11.00 am,car,1,in,
25-10,11.00 am,car,1,in,
25-10,11.00 am,taxi,1,in,
25-10,11.00 am,van,1,in,
25-10,11.00 am,bicycle,1,in,
25-10,11.00 am,car,4,in,
