date,time,type,occupancy,direction,eco,elec
24-10,09.30 am,car,1,in,,False
24-10,09.30 am,car,1,in,,False
24-10,09.30 am,car,1,in,,False
24-10,09.30 am,car,1,in,,False
24-10,09.30 am,car,1,in,,False
24-10,09.30 am,car,1,in,,False
24-10,09.30 am,car,1,in,,False
24-10,09.35 am,bus,95%,in,,False
24-10,09.35 am,car,1,in,,False
24-10,09.35 am,car,1,in,,False
24-10,09.35 am,car,1,in,,False
24-10,09.35 am,car,1,in,,False
24-10,09.35 am,car,1,in,,False
24-10,09.35 am,bus,75%,in,,False
24-10,09.35 am,car,1,in,,False
24-10,09.35 am,car,1,in,,False
24-10,09.35 am,car,1,in,,True
24-10,09.35 am,car,1,in,,False
24-10,09.35 am,car,1,in,,False
24-10,09.35 am,car,1,in,,False
24-10,09.35 am,bus,10%,in,,False
24-10,09.35 am,car,1,in,,False
24-10,09.35 am,bus,15%,in,,False
24-10,09.35 am,car,2,in,,False
24-10,09.35 am,car,2,in,,False
24-10,09.35 am,car,2,in,,False
24-10,09.35 am,car,1,in,,False
24-10,09.35 am,car,2,in,,False
24-10,09.35 am,bus,15%,in,,False
24-10,09.35 am,car,1,in,,False
24-10,09.35 am,car,1,in,,False
24-10,09.40 am,car,2,in,,False
24-10,09.40 am,car,1,in,,False
24-10,09.40 am,car,1,in,,False
24-10,09.40 am,taxi,1,in,,False
24-10,09.40 am,taxi,1,in,,False
24-10,09.40 am,car,1,in,,False
24-10,09.40 am,car,1,in,,False
24-10,09.40 am,car,2,in,,False
24-10,09.40 am,car,1,in,,False
24-10,09.40 am,motorcycle,1,in,,False
24-10,09.40 am,car,1,in,,False
24-10,09.40 am,car,1,in,,False
24-10,09.40 am,car,3,in,,False
24-10,09.40 am,van,1,in,,False
24-10,09.40 am,car,2,in,,False
24-10,09.40 am,taxi,2,in,,True
24-10,09.40 am,bicycle,1,in,,False
24-10,09.40 am,bicycle,1,in,,False
24-10,09.40 am,car,2,in,,False
24-10,09.40 am,car,1,in,,False
24-10,09.40 am,car,1,in,,False
24-10,09.40 am,car,3,in,,False
24-10,09.40 am,car,1,in,,False
24-10,09.40 am,car,1,in,,False
24-10,09.40 am,car,3,in,,False
24-10,09.40 am,car,2,in,,False
24-10,09.45 am,car,1,in,,False
24-10,09.45 am,car,2,in,,False
24-10,09.45 am,car,2,in,,False
24-10,09.45 am,car,1,in,,False
24-10,09.45 am,car,1,in,,False
24-10,09.45 am,car,1,in,,False
24-10,09.45 am,car,1,in,,False
24-10,09.45 am,car,2,in,,False
24-10,09.45 am,car,1,in,,False
24-10,09.45 am,car,2,in,,False
24-10,09.45 am,car,2,in,,False
24-10,09.45 am,car,5,in,,False
24-10,09.45 am,car,3,in,,False
24-10,09.45 am,car,2,in,,False
24-10,09.45 am,car,4,in,,False
24-10,09.45 am,motorcycle,1,in,,False
24-10,09.50 am,bus,85%,in,,False
24-10,09.50 am,car,1,in,,False
24-10,09.50 am,car,1,in,,False
24-10,09.50 am,car,2,in,,False
24-10,09.50 am,car,1,in,,False
24-10,09.50 am,car,4,in,,False
24-10,09.50 am,bicycle,1,in,,False
24-10,09.50 am,car,1,in,,False
24-10,09.50 am,car,1,in,,False
24-10,09.50 am,car,3,in,,False
24-10,09.50 am,car,4,in,,False
24-10,09.50 am,car,2,in,,False
24-10,09.50 am,car,2,in,,False
24-10,09.50 am,car,1,in,,False
24-10,09.50 am,car,1,in,,False
24-10,09.50 am,car,2,in,,False
24-10,09.50 am,car,1,in,,False
24-10,09.50 am,car,2,in,,False
24-10,09.50 am,car,1,in,,False
24-10,09.50 am,car,2,in,,False
24-10,09.50 am,car,1,in,,False
24-10,09.50 am,car,1,in,,False
24-10,09.50 am,car,3,in,,False
24-10,09.50 am,car,1,in,,False
24-10,09.50 am,car,1,in,,False
24-10,09.50 am,car,3,in,,False
24-10,09.50 am,car,1,in,,False
24-10,09.50 am,car,2,in,,False
24-10,09.50 am,bicycle,1,in,,False
24-10,09.50 am,car,1,in,,False
24-10,09.50 am,car,1,in,,False
24-10,09.50 am,car,1,in,,False
24-10,09.50 am,car,3,in,,False
24-10,09.50 am,bicycle,1,in,,False
24-10,09.50 am,car,3,in,,False
24-10,09.50 am,bus,70%,in,,False
24-10,09.50 am,car,1,in,,False
24-10,09.50 am,van,1,in,,False
24-10,09.50 am,car,1,in,,False
24-10,09.50 am,car,1,in,,False
24-10,09.50 am,car,1,in,,False
24-10,09.50 am,car,1,in,,False
24-10,09.50 am,car,1,in,,False
24-10,09.50 am,bicycle,1,in,,False
24-10,09.50 am,car,1,in,,False
24-10,09.55 am,car,1,in,,False
24-10,09.55 am,car,2,in,,False
24-10,09.55 am,car,2,in,,False
24-10,09.55 am,car,3,in,,False
24-10,09.55 am,van,1,in,,False
24-10,09.55 am,car,2,in,,False
24-10,09.55 am,car,1,in,,False
24-10,09.55 am,car,1,in,,False
24-10,09.55 am,bus,100%,in,,False
24-10,09.55 am,car,1,in,,False
