Date,Time,Direction,Type,Occupancy,AdditionalData1,AdditionalData2
24-10-2023,09.30 am,in,car,1,No,N/A
24-10-2023,09.30 am,in,car,1,No,N/A
24-10-2023,09.30 am,in,car,1,No,N/A
24-10-2023,09.30 am,in,car,1,No,N/A
24-10-2023,09.30 am,in,car,1,No,N/A
24-10-2023,09.30 am,in,car,1,No,N/A
24-10-2023,09.35 am,in,bus,95%,No,N/A
24-10-2023,09.35 am,in,car,1,No,N/A
24-10-2023,09.35 am,in,car,1,No,N/A
24-10-2023,09.35 am,in,car,1,No,N/A
24-10-2023,09.35 am,in,car,1,No,N/A
24-10-2023,09.35 am,in,car,1,No,N/A
24-10-2023,09.35 am,in,bus,75%,No,N/A
24-10-2023,09.35 am,in,car,1,No,N/A
24-10-2023,09.35 am,in,car,1,No,N/A
24-10-2023,09.35 am,in,car,1,Yes,N/A
24-10-2023,09.35 am,in,car,1,No,N/A
24-10-2023,09.35 am,in,car,1,No,N/A
24-10-2023,09.35 am,in,car,1,No,N/A
24-10-2023,09.35 am,in,bus,10%,No,N/A
24-10-2023,09.35 am,in,car,1,No,N/A
24-10-2023,09.35 am,in,bus,15%,No,N/A
24-10-2023,09.35 am,in,car,2,No,N/A
24-10-2023,09.35 am,in,car,2,No,N/A
24-10-2023,09.35 am,in,car,2,No,N/A
24-10-2023,09.35 am,in,car,1,No,N/A
24-10-2023,09.35 am,in,car,2,No,N/A
24-10-2023,09.35 am,in,bus,15%,No,N/A
24-10-2023,09.35 am,in,car,1,No,N/A
24-10-2023,09.35 am,in,car,1,No,N/A
24-10-2023,09.40 am,in,car,2,No,N/A
24-10-2023,09.40 am,in,car,1,No,N/A
24-10-2023,09.40 am,in,car,1,No,N/A
24-10-2023,09.40 am,in,taxi,1,No,N/A
24-10-2023,09.40 am,in,taxi,1,No,N/A
24-10-2023,09.40 am,in,car,1,No,N/A
24-10-2023,09.40 am,in,car,1,No,N/A
24-10-2023,09.40 am,in,car,2,No,N/A
24-10-2023,09.40 am,in,car,1,No,N/A
24-10-2023,09.40 am,in,motorbike,1,No,N/A
24-10-2023,09.40 am,in,car,1,No,N/A
24-10-2023,09.40 am,in,car,1,No,N/A
24-10-2023,09.40 am,in,car,3,No,N/A
24-10-2023,09.40 am,in,van,1,No,N/A
24-10-2023,09.40 am,in,car,2,No,N/A
24-10-2023,09.40 am,in,taxi,2,Yes,N/A
24-10-2023,09.40 am,in,bicycle,1,No,N/A
24-10-2023,09.40 am,in,bicycle,1,No,N/A
24-10-2023,09.40 am,in,car,2,No,N/A
24-10-2023,09.40 am,in,car,1,No,N/A
24-10-2023,09.40 am,in,car,1,No,N/A
24-10-2023,09.40 am,in,car,3,No,N/A
24-10-2023,09.40 am,in,car,1,No,N/A
24-10-2023,09.40 am,in,car,1,No,N/A
24-10-2023,09.40 am,in,car,3,No,N/A
24-10-2023,09.40 am,in,car,2,No,N/A
24-10-2023,09.45 am,in,car,1,No,N/A
24-10-2023,09.45 am,in,car,2,No,N/A
24-10-2023,09.45 am,in,car,2,No,N/A
24-10-2023,09.45 am,in,car,1,No,N/A
24-10-2023,09.45 am,in,car,1,No,N/A
24-10-2023,09.45 am,in,car,1,No,N/A
24-10-2023,09.45 am,in,car,1,No,N/A
24-10-2023,09.45 am,in,car,2,No,N/A
24-10-2023,09.45 am,in,car,1,No,N/A
24-10-2023,09.45 am,in,car,2,No,N/A
24-10-2023,09.45 am,in,car,2,No,N/A
24-10-2023,09.45 am,in,car,5,No,N/A
24-10-2023,09.45 am,in,car,3,No,N/A
24-10-2023,09.45 am,in,car,2,No,N/A
24-10-2023,09.45 am,in,car,4,No,N/A
24-10-2023,09.45 am,in,motorbike,1,No,N/A
24-10-2023,09.50 am,in,bus,85%,No,N/A
24-10-2023,09.50 am,in,car,1,No,N/A
24-10-2023,09.50 am,in,car,1,No,N/A
24-10-2023,09.50 am,in,car,2,No,N/A
24-10-2023,09.50 am,in,car,1,No,N/A
24-10-2023,09.50 am,in,car,4,No,N/A
24-10-2023,09.50 am,in,bicycle,1,No,N/A
24-10-2023,09.50 am,in,car,1,No,N/A
24-10-2023,09.50 am,in,car,1,No,N/A
24-10-2023,09.50 am,in,car,3,No,N/A
24-10-2023,09.50 am,in,car,4,No,N/A
24-10-2023,09.50 am,in,car,2,No,N/A
24-10-2023,09.50 am,in,car,2,No,N/A
24-10-2023,09.50 am,in,car,1,No,N/A
24-10-2023,09.50 am,in,car,1,No,N/A
24-10-2023,09.50 am,in,car,2,No,N/A
24-10-2023,09.50 am,in,car,1,No,N/A
24-10-2023,09.50 am,in,car,2,No,N/A
24-10-2023,09.50 am,in,car,1,No,N/A
24-10-2023,09.50 am,in,car,2,No,N/A
24-10-2023,09.50 am,in,car,1,No,N/A
24-10-2023,09.50 am,in,car,1,No,N/A
24-10-2023,09.50 am,in,car,3,No,N/A
24-10-2023,09.50 am,in,car,1,No,N/A
24-10-2023,09.50 am,in,car,1,No,N/A
24-10-2023,09.50 am,in,car,3,No,N/A
24-10-2023,09.50 am,in,car,1,No,N/A
24-10-2023,09.50 am,in,car,2,No,N/A
24-10-2023,09.50 am,in,bicycle,1,No,N/A
24-10-2023,09.50 am,in,car,1,No,N/A
24-10-2023,09.50 am,in,car,1,No,N/A
24-10-2023,09.50 am,in,car,1,No,N/A
24-10-2023,09.50 am,in,car,3,No,N/A
24-10-2023,09.50 am,in,bicycle,1,No,N/A
24-10-2023,09.50 am,in,car,3,No,N/A
24-10-2023,09.50 am,in,bus,70%,No,N/A
24-10-2023,09.50 am,in,car,1,No,N/A
24-10-2023,09.50 am,in,van,1,No,N/A
24-10-2023,09.50 am,in,car,1,No,N/A
24-10-2023,09.50 am,in,car,1,No,N/A
24-10-2023,09.50 am,in,car,1,No,N/A
24-10-2023,09.50 am,in,car,1,No,N/A
24-10-2023,09.50 am,in,car,1,No,N/A
24-10-2023,09.50 am,in,bicycle,1,No,N/A
24-10-2023,09.50 am,in,car,1,No,N/A
24-10-2023,09.55 am,in,car,1,No,N/A
24-10-2023,09.55 am,in,car,2,No,N/A
24-10-2023,09.55 am,in,car,2,No,N/A
24-10-2023,09.55 am,in,car,3,No,N/A
24-10-2023,09.55 am,in,van,1,No,N/A
24-10-2023,09.55 am,in,car,2,No,N/A
24-10-2023,09.55 am,in,car,1,No,N/A
24-10-2023,09.55 am,in,car,1,No,N/A
24-10-2023,09.55 am,in,bus,100%,No,N/A
